file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
AUTHORS;580;1;0;0.0017241379310344827;0.9982788296041308;0.999137187230371;0.9982758620689656;1.0;1;580;1;0;0.0017241379310344827;0.9982788296041308;0.999137187230371;0.9982758620689656;1.0;1
tests/modeltests/timezones/tests.py;1031;20;3;0.02230843840931135;0.9781783681214421;0.9887530562347189;0.9806013579049466;0.9970414201183432;23;1031;2;1;0.002909796314258002;0.9970986460348162;0.9985443959243087;0.9980601357904947;0.9990291262135922;3
AUTHORS;581;1;0;0.0017211703958691911;0.9982817869415808;0.9991386735572783;0.9982788296041308;1.0;1;581;1;2;0.0051635111876075735;0.9948630136986302;0.9974204643164231;0.9982788296041308;0.9965635738831615;3
tests/regressiontests/admin_views/tests.py;3647;133;134;0.07321085823964903;0.9317833418497701;0.9633995887594242;0.963531669865643;0.9632675438596491;267;3647;11;3;0.003838771593090211;0.9961759082217974;0.9980785067252265;0.9969838223197148;0.9991755976916735;14
tests/regressiontests/admin_views/models.py;613;21;19;0.06525285481239804;0.9387442572741195;0.9673202614379085;0.965742251223491;0.9689034369885434;40;613;5;2;0.011419249592169658;0.9887096774193549;0.9942763695829927;0.9918433931484503;0.9967213114754099;7
tests/regressiontests/defaultfilters/tests.py;638;4;3;0.0109717868338558;0.9891472868217054;0.9945098039215686;0.9937304075235109;0.9952904238618524;7;638;4;0;0.006269592476489028;0.9937694704049844;0.9968553459119497;0.9937304075235109;1.0;4
django/utils/html.py;267;17;13;0.11235955056179775;0.898989898989899;0.9433962264150944;0.9363295880149812;0.9505703422053232;30;267;1;1;0.00749063670411985;0.9925650557620818;0.9962546816479401;0.9962546816479401;0.9962546816479401;2
AUTHORS;593;10;2;0.02023608768971332;0.9801652892561984;0.9898132427843803;0.9831365935919055;0.9965811965811966;12;593;1;2;0.00505902192242833;0.9949664429530202;0.9974726200505475;0.9983136593591906;0.9966329966329966;3
django/utils/encoding.py;199;41;26;0.33668341708542715;0.7481203007518797;0.825065274151436;0.7939698492462312;0.8586956521739131;67;199;1;1;0.010050251256281407;0.9900497512437811;0.9949748743718593;0.9949748743718593;0.9949748743718593;2
django/template/base.py;1325;17;9;0.019622641509433963;0.9807549962990377;0.9901589704769116;0.9871698113207548;0.9931662870159453;26;1325;1;1;0.0015094339622641509;0.9984928409947249;0.999245283018868;0.999245283018868;0.999245283018868;2
django/db/backends/postgresql_psycopg2/base.py;247;10;7;0.06882591093117409;0.9356060606060606;0.9653767820773931;0.9595141700404858;0.9713114754098361;17;247;7;0;0.02834008097165992;0.9724409448818898;0.9856262833675565;0.97165991902834;1.0;7
django/db/backends/__init__.py;1084;74;29;0.09501845018450185;0.9132266217354675;0.9514837494112106;0.9317343173431735;0.9720885466794995;103;1084;11;0;0.01014760147601476;0.9899543378995433;0.9949003245248029;0.9898523985239852;1.0;11
docs/ref/contrib/admin/index.txt;2014;18;17;0.01737835153922542;0.9829184968277208;0.9913086665011175;0.9910625620655412;0.9915548931942375;35;2014;2;2;0.0019860973187686196;0.998017839444995;0.9990069513406157;0.9990069513406157;0.9990069513406157;4
django/db/backends/__init__.py;1096;17;5;0.020072992700729927;0.9803220035778175;0.9899082568807338;0.9844890510948905;0.9953874538745388;22;1096;23;0;0.020985401459854013;0.9794459338695264;0.9893960350391885;0.9790145985401459;1.0;23
django/db/backends/creation.py;436;4;2;0.013761467889908258;0.9864253393665159;0.9931034482758622;0.9908256880733946;0.9953917050691244;6;436;2;1;0.006880733944954129;0.9931662870159453;0.9965556831228473;0.9954128440366973;0.9977011494252873;3
docs/topics/cache.txt;1178;1;1;0.001697792869269949;0.9983050847457627;0.9991511035653651;0.9991511035653651;0.9991511035653651;2;1178;2;11;0.011035653650254669;0.9890848026868178;0.9945031712473572;0.99830220713073;0.9907329401853412;13
django/db/backends/mysql/base.py;495;9;4;0.026262626262626262;0.9744094488188977;0.9868020304568528;0.9818181818181818;0.9918367346938776;13;495;5;0;0.010101010101010102;0.99;0.9949238578680203;0.98989898989899;1.0;5
django/db/backends/mysql/introspection.py;178;17;5;0.12359550561797752;0.89;0.936046511627907;0.9044943820224719;0.9698795180722891;22;178;17;5;0.12359550561797752;0.89;0.936046511627907;0.9044943820224719;0.9698795180722891;22
django/db/backends/postgresql_psycopg2/base.py;247;3;3;0.024291497975708502;0.9762845849802372;0.9878542510121457;0.9878542510121457;0.9878542510121457;6;247;7;0;0.02834008097165992;0.9724409448818898;0.9856262833675565;0.97165991902834;1.0;7
django/db/backends/postgresql_psycopg2/introspection.py;177;91;2;0.5254237288135594;0.6555555555555556;0.649056603773585;0.4858757062146893;0.9772727272727273;93;177;2;2;0.022598870056497175;0.9779005524861878;0.9887005649717514;0.9887005649717514;0.9887005649717514;4
django/db/backends/__init__.py;1100;30;5;0.031818181818181815;0.9691629955947136;0.9839080459770115;0.9727272727272728;0.9953488372093023;35;1100;23;0;0.02090909090909091;0.9795191451469278;0.9894350022967388;0.9790909090909091;1.0;23
django/db/backends/sqlite3/base.py;423;22;9;0.07328605200945626;0.9317180616740088;0.9627851140456182;0.9479905437352246;0.9780487804878049;31;423;5;0;0.01182033096926714;0.9883177570093458;0.9940546967895363;0.9881796690307328;1.0;5
