"","project","vcs","n","min","c1st","med","mean","c3rd","max","std"
"76","RxJava","git","444","1.00","7.75","22.00","105.73","60.00","12019.00",674.558733827707
"77","scrapy","svn","2920","1.00","3.00","9.00","30.98","26.00","2122.00",78.3791006996621
"78","scrapy","git","2920","1.00","3.00","8.00","29.48","26.00","2130.00",74.2865604296199
"79","scrcpy","svn","47","1.0","11.5","38.0","107.9","83.0","2132.0",312.152179791766
"80","scrcpy","git","47","1.0","3.5","8.0","21.0","19.0","154.0",34.845622268864
"81","socket.io","svn","134","1.00","5.25","10.00","42.06","22.00","1733.00",161.413808150246
"82","socket.io","git","134","1.00","3.00","9.50","32.51","20.00","1829.00",160.659297018024
"83","spring-boot","svn","29457","0.00","3.00","8.00","41.85","28.00","2430.00",129.591860783099
"84","spring-boot","git","29457","0.0","2.0","8.0","43.8","29.0","2416.0",135.734343627451
"85","spring-framework","svn","1954","1.00","6.00","18.00","65.96","57.00","4611.00",235.021272788347
"86","spring-framework","git","1954","1.00","5.00","15.00","63.35","53.00","4174.00",204.762778769666
"87","terminal","svn","1364","1.00","4.00","11.00","46.27","40.25","1811.00",114.491983096155
"88","terminal","git","1364","0.00","4.00","10.00","38.55","34.00","1834.00",105.47336510975
"89","tesseract","svn","165","1.00","3.00","8.00","69.74","24.00","1829.00",241.050821910096
"90","tesseract","git","165","1.00","3.00","7.00","21.61","16.00","776.00",69.6054725104273
"91","thefuck","svn","95","1.00","1.00","4.00","11.16","12.50","107.00",18.2560487145946
"92","thefuck","git","95","1.000","1.000","4.000","9.084","11.500","67.000",12.4153843805542
"93","vue","svn","27","2.00","2.00","2.00","55.48","9.00","1218.00",233.031587553535
"94","vue","git","27","2.00","2.00","2.00","52.15","7.00","1218.00",233.204384393358
"95","x64dbg","svn","967","0.00","2.00","11.00","66.12","57.00","4390.00",192.07989578378
"96","x64dbg","git","967","0.0","6.0","39.0","149.2","139.0","4406.0",341.96697560805
"97","youtube-dl","svn","718","1.00","2.00","8.00","69.85","41.75","5062.00",303.042445963062
"98","youtube-dl","git","718","0.00","2.00","6.00","45.18","23.75","4316.00",222.178840545284
"99","zstd","svn","2202","1.00","4.00","12.00","57.53","42.00","2710.00",154.908471344304
"100","zstd","git","2202","1.00","4.00","13.00","58.76","44.00","3017.00",154.645661068251
"101","Geral","svn","116388","0.0","3.0","9.0","86.8","33.0","441721.0",2191.89879646966
"102","Geral","git","116388","0.0","3.0","8.0","76.6","29.0","400149.0",2139.2451946561
