"","project","wilcox_effort_pvalue","wilcox_effort_inf","t-test_effort_t","t-test_effort_df","t-test_effort_pvalue","wilcox_percentageOfChange_pvalue","wilcox_percentageOfChange_inf","t-test_percentageOfChange_t","t-test_percentageOfChange_df","t-test_percentageOfChange_pvalue","wilcox_accuracy_pvalue","wilcox_accuracy_inf","t-test_accuracy_t","t-test_accuracy_df","t-test_accuracy_pvalue","wilcox_precision_pvalue","wilcox_precision_inf","t-test_precision_t","t-test_precision_df","t-test_precision_pvalue","wilcox_recall_pvalue","wilcox_recall_inf","t-test_recall_t","t-test_recall_df","t-test_recall_pvalue","wilcox_measure_pvalue","wilcox_measure_inf","t-test_measure_t","t-test_measure_df","t-test_measure_pvalue"
"36","requests",0.992348195073832,-4.99993866378022,-2.24576007101217,477,0.987411790197829,0.97280535600283,-0.00908821236921459,0.498740465400892,477,0.309096070824659,0.97245395213742,-0.00835384833117629,-1.56769472356463,477,0.94119224691976,0.837865888811014,-0.00264025246320988,-0.230029154855384,477,0.590916136729255,0.999955194055818,-0.0113559503451357,-3.0583685046446,477,0.998824708064928,0.977596941002022,-0.00446174938451145,-1.65658155661912,477,0.95086915285552
"37","retrofit",0.624793725952396,-3.00003701721957,-1.11884240035853,77,0.866657182605674,0.324533646952001,-0.00839976618959283,-0.912336251915021,77,0.817780310565447,0.324534792685548,-0.0076617920755363,-0.310726590857834,77,0.62157597191656,0.504221798567307,-0.00608603671716544,-1.52829472390746,77,0.934731433462708,0.495778201432693,-0.00632769096983711,-0.299799332928414,77,0.617430977875797,0.318526640832035,-0.00406930283672273,-0.855791395748474,77,0.802615785382667
"38","RxJava",0.999937952546241,-29.9999553512428,-0.686995752857401,443,0.753777564379491,0.984115422694441,-0.00943689815548074,0.126052405623706,443,0.449873814468035,0.986952961860018,-0.00894977841146529,-0.513340567765591,443,0.696015489404417,0.909182305330617,-0.00250042780077725,1.61161358234855,443,0.0538791216308435,0.999486174046122,-0.00794750908763017,-1.347610355852,443,0.910763740694481,0.984352040836216,-0.00472624323047972,-0.570266419556264,443,0.715606940415159
"39","scrapy",0.913715868326137,-1.99997199923479,-1.27347246413052,2919,0.898524082139816,0.982915681190387,-0.010830575329571,-1.26973913309336,2919,0.897860608827473,0.987042333441286,-0.00940791232075238,-2.17556331198476,2919,0.985166045871376,0.0115928933169254,0.000710063763263661,1.59774567579494,2919,0.0551039125063031,0.999999999668348,-0.0145169237768973,-7.00887371255395,2919,0.999999999998514,0.994760127735279,-0.00573170769898538,-3.20656820544356,2919,0.999321102103582
"40","scrcpy",0.999945959645925,-78.5000146785181,-1.88427769777131,46,0.967072068593912,0.999965956596564,-0.16936268369952,-3.34523154251744,46,0.999178125585754,0.999968538627724,-0.131238487935278,-3.9182817160867,46,0.999853005890889,0.999973156898887,-0.0368140199479842,-2.44054878901816,46,0.990712468679873,0.999921284785678,-0.121782257556783,-3.29389162001673,46,0.999047026682772,0.999967441940561,-0.0909041046045588,-3.11293308811676,46,0.998409017947747
"41","socket.io",0.971263302563236,-6.00000830990143,-1.88780710705334,133,0.969384744926445,0.995518070425476,-0.0199170705700416,-2.89497800338945,133,0.997783183683824,0.996953767782653,-0.017880663092792,-3.20069968713475,133,0.999142625073001,0.161972138776129,-0.000987854345851118,-1.17194290313716,133,0.87834248196683,0.999853381300417,-0.0226357038475854,-3.36662926611509,133,0.999502408245503,0.996408206603022,-0.0102491336105377,-2.77302334724705,133,0.996824044621655
"42","spring-boot",8.43313721468774e-63,1.50003217836803,8.65866179855871,29456,2.5062529351658e-18,6.65465440780579e-15,0.00621747519786425,2.71150242326998,29456,0.00335089447328508,1.75715466370965e-08,0.0031499188230887,2.81211398486799,29456,0.00246247983823295,2.74145747509529e-26,0.00402161741233114,4.73609546468454,29456,1.09444402918837e-06,2.5901768868241e-08,0.00201638104428214,0.981251293579958,29456,0.16323844713494,1.2325812897963e-14,0.00300297006869362,2.84916960729555,29456,0.00219319447830803
"43","spring-framework",0.999995970840766,-6.50004181518135,-0.965262611677782,1953,0.832733599810168,0.999999997397785,-0.0249132917566394,-4.16979139942911,1953,0.999984089224691,0.999999998159287,-0.0206530789946189,-5.31937512438927,1953,0.999999941965317,0.999996017352436,-0.00747602652063299,-3.1068321749718,1953,0.999040877869235,1,-0.0183495009297382,-6.70372876117933,1953,0.999999999986747,0.999999998596454,-0.0126270193441691,-5.22411763572142,1953,0.999999903178258
"44","terminal",0.999989194289844,-5.49995759640544,-2.38331962020059,1363,0.991353204976052,0.999920577305377,-0.0202808597430753,-0.780347620792603,1363,0.782339108580395,0.999945191152338,-0.0173932908375386,-3.06951932959033,1363,0.998906810534347,5.95677306623689e-12,0.00863474342006015,2.5219208412724,1363,0.00589238465885462,1,-0.0333367788029285,-6.8138824917369,1363,0.999999999992891,0.999990792796472,-0.0108227514324266,-2.68525442101839,1363,0.996332303209355
"45","tesseract",0.9991702040911,-19.9999966473538,-2.5780365494671,164,0.994592190047362,0.99851562210911,-0.0393725798614295,-2.7534038101887,164,0.996718341550228,0.998368026545985,-0.0346238779404065,-3.13528098761964,164,0.998982521679801,0.84455053740574,-0.0122566780656901,-2.64908686294733,164,0.995569973648978,0.99967164531961,-0.0257717546198172,-2.96527085109095,164,0.99826216406777,0.9984774382703,-0.0192853165410032,-2.93332851816439,164,0.9980830690683
"46","thefuck",0.696535295413405,-2.9999620304105,-1.30039196475022,94,0.901677040185885,0.670206179408829,-0.0197709027044781,-1.13576414435718,94,0.870528607431049,0.661299135023218,-0.0162079624714947,-1.21044910433173,94,0.885429256415845,0.129390872674344,-0.00160745052517508,0.816424809641952,94,0.208160711729338,0.942890202651319,-0.0328651140237307,-2.04165003942852,94,0.978005721719754,0.676110375508346,-0.010607402267852,-1.38884060039167,94,0.915918449452446
"47","vue",0.82738446411408,-59.0000491823431,-1.00270322949248,26,0.83737734438694,0.749907871464603,-0.330795063230411,-0.940558562013567,26,0.822205864817756,0.749907871464603,-0.225178570390478,-0.872204128772075,26,0.804459668749818,0.82738446411408,-0.117800784465392,-1.13374277426278,26,0.866375790141238,0.657084782774197,-0.236884314073574,-0.82853475167962,26,0.792545427433052,0.749907871464603,-0.187806665075856,-0.946019922758425,26,0.823575942465281
"48","x64dbg",6.5108770744859e-23,36.4999741759505,7.99791538816751,966,1.80126784182695e-15,1.8498333926102e-38,0.830282169160034,17.6503570937107,966,6.014931678131e-61,1.41264332348618e-36,0.22524672116046,16.4049732977458,966,7.68225514423701e-54,5.19263206122936e-46,0.452633416707658,18.6453323373292,966,8.20851680275306e-67,3.54889124519291e-32,0.402160506323398,17.2989577232441,966,6.48732469071634e-59,7.94590786944647e-38,0.406095677750031,18.0526776397812,966,2.67048983010699e-63
"49","youtube-dl",0.999999999291356,-8.00000031957678,-2.70646498139228,717,0.996518935050984,0.999999999977023,-0.0138368159579028,-1.56297525094647,717,0.940750173477068,0.999999999975406,-0.0126255991629013,-4.34525095185245,717,0.99999203947013,0.999881281159577,-0.00332381482553686,0.79636377074697,717,0.21304211179163,0.999999999999888,-0.0124404203688737,-3.06803992374331,717,0.998882091270799,0.999999999753928,-0.00627501763806975,-1.34616559152591,717,0.91066271992685
"50","zstd",0.000170623949157499,2.00001565605378,0.58972973639649,2201,0.277716193511295,0.00101960893714907,0.00250821763060719,-0.353475245221378,2201,0.63811698173275,0.00255974836829532,0.00179831346379232,1.49850312887287,2201,0.0670729910868336,2.88870367624887e-07,0.00228642689419921,2.36506446509497,2201,0.00905660972229806,0.125780937426748,-0.000482615215780197,1.09166100301146,2201,0.13755080695523,0.000907800145450499,0.00122646703818787,1.80207347905371,2201,0.0358353096735505
"51","Geral",1,-1.99996108482242,-2.0799657843159,116387,0.98123457292191,1,-0.00489889615082758,1.02652740892015,116387,0.152322592161243,1,-0.0048475409183714,-12.4867008993679,116387,1,0.999999999993903,-0.000697373406308626,4.67855070051396,116387,1.44616963713903e-06,1,-0.00439717017425816,-8.8385555297278,116387,1,1,-0.00239230056360788,-2.83482823462082,116387,0.99770708864346
